
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 0  3.775267  1.932517  0.547030
 1  3.300881  1.766713  0.376958
 2  3.153320  1.579654  0.215657
 3  3.011381  1.362381  0.280370
 4  2.303675  1.182174  0.322393
 5  2.135592  1.034350  0.290898
 6  1.873274  0.923389  0.241526
 7  1.886314  0.833863  0.251590
 8  1.488920  0.773211  0.390758
 9  1.157110  0.764956  0.307805
 10  1.187390  0.799323  0.392872
 11  1.334946  0.839656  0.460673
 12  1.339884  0.846231  0.455215
 13  1.389195  0.885730  0.591228
 14  1.261148  0.902054  0.586589
 15  1.393300  0.934233  0.581018
 16  1.472539  0.960455  0.546706
 17  1.454515  0.984598  0.532928
 18  1.284182  1.002236  0.538110
 19  1.372596  1.028048  0.701942
 20  1.624770  1.040106  0.676045
 21  1.518454  1.054922  0.696410
 22  1.367841  1.071880  0.796852
 23  1.463865  1.088001  0.585050
 24  1.436113  1.102083  0.755261
 25  1.340429  1.106862  0.731433
 26  1.818375  1.136770  0.676090
 27  1.407775  1.148123  0.810996
 28  1.513163  1.158579  0.875230
 29  1.349173  1.170612  0.870024
 30  1.351034  1.185758  0.848462
 31  1.469446  1.205917  0.938772
 32  1.511818  1.210891  0.997731
 33  1.535287  1.211252  0.892740
 34  1.477236  1.221937  1.007077
 35  1.463475  1.224227  0.965305
 36  1.556256  1.232495  1.017295
 37  1.561800  1.238148  0.922926
 38  1.434530  1.243082  0.963156
 39  1.577792  1.256822  0.920141
 40  1.555122  1.262769  0.685213
 41  1.494332  1.264016  0.794923
 42  1.502062  1.264259  1.035906
 43  1.506934  1.282371  1.058016
 44  1.489851  1.290215  1.009133
 45  1.473269  1.296748  1.118636
 46  1.593521  1.311874  1.126444
 47  1.558450  1.320556  1.109749
 48  1.584239  1.318964  1.006057
 49  1.553693  1.322053  1.050255
 50  1.505432  1.328243  1.046073
 51  1.605512  1.337016  1.121080
 52  1.563902  1.344348  1.147622
 53  1.592422  1.350512  1.148242
 54  1.570294  1.353569  1.167056
 55  1.518971  1.364952  1.157843
 56  1.650249  1.369966  1.135331
 57  1.537379  1.367394  1.137499
 58  1.521584  1.374218  1.199646
 59  1.594213  1.379884  1.182707
 60  1.532413  1.383447  1.204789
 61  1.519007  1.392082  1.247911
 62  1.626222  1.399001  1.212027
 63  1.559116  1.402984  1.206294
 64  1.564400  1.402900  1.221286
 65  1.580095  1.411558  1.187160
 66  1.538160  1.408061  1.163398
 67  1.546354  1.412061  1.283771
 68  1.565138  1.417585  1.236693
 69  1.544718  1.418300  1.251840
 70  1.556933  1.418461  1.249693
 71  1.562121  1.415024  1.250721
 72  1.580112  1.421755  1.217427
 73  1.535176  1.421902  1.232327
 74  1.546710  1.429154  1.261602
 75  1.556242  1.434657  1.304678
 76  1.669988  1.440849  1.228542
 77  1.585116  1.438458  1.284619
 78  1.601083  1.438935  1.209707
 79  1.578943  1.446317  1.298767
 80  1.561220  1.443631  1.296660
 81  1.673700  1.443750  1.222148
 82  1.686478  1.448838  1.177175
 83  1.586854  1.451005  1.227279
 84  1.591481  1.451818  1.299100
 85  1.605630  1.451840  1.300008
 86  1.659546  1.448964  1.309152
 87  1.574992  1.451356  1.324091
 88  1.654734  1.456394  1.256722
 89  1.582805  1.460060  1.255815
 90  1.583687  1.460356  1.303117
 91  1.627374  1.462778  1.181681
 92  1.608066  1.460819  1.301059
 93  1.602510  1.462968  1.266654
 94  1.595804  1.460540  1.232577
 95  1.750162  1.466429  1.081732
 96  1.607388  1.465168  1.226817
 97  1.586335  1.468629  1.237786
