
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 0  0.044142  0.127676  0.195868
 1  0.031987  0.110577  0.188989
 2  0.032124  0.092803  0.185636
 3  0.030652  0.074844  0.136717
 4  0.029683  0.060132  0.113854
 5  0.027868  0.048661  0.098159
 6  0.027489  0.039747  0.073703
 7  0.027528  0.034538  0.070496
 8  0.026949  0.032257  0.055526
 9  0.027384  0.031143  0.042813
 10  0.027208  0.031113  0.042903
 11  0.026701  0.030792  0.043170
 12  0.026715  0.030623  0.040310
 13  0.026863  0.030130  0.039806
 14  0.026926  0.029701  0.038781
 15  0.027010  0.029661  0.039632
 16  0.026954  0.029440  0.036361
 17  0.027055  0.029376  0.040888
 18  0.027094  0.029260  0.033750
 19  0.027035  0.029137  0.035961
 20  0.027113  0.028882  0.034522
 21  0.027080  0.028794  0.034203
 22  0.027129  0.029277  0.035321
 23  0.027131  0.028559  0.032085
 24  0.027122  0.028490  0.032897
 25  0.027016  0.028522  0.033106
 26  0.027040  0.028526  0.033385
 27  0.027117  0.028505  0.032685
 28  0.027083  0.028374  0.030711
 29  0.027244  0.028402  0.030915
 30  0.027158  0.028404  0.030689
 31  0.027322  0.028466  0.030582
 32  0.027271  0.028349  0.029760
 33  0.027650  0.028576  0.030835
 34  0.027789  0.028628  0.033816
 35  0.027935  0.028606  0.031647
 36  0.027795  0.028653  0.031301
 37  0.027827  0.028722  0.031174
 38  0.027921  0.028696  0.030274
 39  0.027883  0.028757  0.031892
 40  0.027890  0.028693  0.031103
 41  0.027700  0.028770  0.031603
 42  0.027979  0.028853  0.033848
 43  0.028009  0.028790  0.031050
 44  0.028039  0.029014  0.034178
 45  0.028027  0.028984  0.033459
 46  0.028049  0.028853  0.030126
 47  0.028089  0.028920  0.031310
 48  0.027961  0.028896  0.031090
 49  0.028182  0.028965  0.031365
 50  0.028102  0.029077  0.032410
 51  0.027869  0.029122  0.034435
 52  0.028362  0.029234  0.031846
 53  0.028236  0.029236  0.033267
 54  0.028053  0.029106  0.032882
 55  0.028318  0.029073  0.033330
 56  0.028320  0.029246  0.031629
 57  0.028401  0.029325  0.032179
 58  0.028327  0.029301  0.031263
 59  0.028477  0.029358  0.032948
 60  0.028555  0.029490  0.031772
 61  0.028442  0.029440  0.030662
 62  0.028370  0.029477  0.032627
 63  0.028418  0.029389  0.030982
 64  0.028166  0.029465  0.031042
 65  0.028501  0.029450  0.031994
 66  0.028436  0.029549  0.032919
 67  0.028628  0.029663  0.034340
 68  0.028858  0.029600  0.033846
 69  0.028605  0.029683  0.031624
 70  0.028647  0.029655  0.031611
 71  0.028507  0.029590  0.033164
 72  0.028445  0.029699  0.032372
 73  0.028603  0.029607  0.030709
 74  0.028694  0.029739  0.031681
 75  0.028889  0.029769  0.031856
 76  0.028843  0.029857  0.031848
 77  0.028931  0.029897  0.031592
 78  0.028969  0.029912  0.032273
 79  0.028773  0.030035  0.031942
 80  0.028765  0.030058  0.035540
 81  0.028556  0.030005  0.031576
 82  0.028591  0.030181  0.038046
 83  0.029000  0.030153  0.034600
 84  0.028978  0.030045  0.031958
 85  0.029022  0.030046  0.031185
 86  0.029332  0.030099  0.031587
 87  0.029174  0.030112  0.031657
 88  0.029091  0.030172  0.032123
 89  0.029170  0.030078  0.031287
 90  0.029005  0.030091  0.031340
 91  0.029224  0.030156  0.031532
 92  0.029024  0.030125  0.031725
 93  0.029049  0.030177  0.032718
 94  0.028964  0.030174  0.031751
 95  0.029256  0.030245  0.032129
